Title,Authors,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,No. of Pages,URL
The Divine Comedy,Dante Alighieri,eBook,25.70,20.99,"9781101117996
",27 May 2003,,928 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101117996.html
A Maiden's Grave,Jeffery Deaver,eBook,14.66,11.99,"9781101209356
",1 January 2000,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781101209356.html
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,eBook,,11.99,"9780755373970
",5 January 2012,Headline,451 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755373970.html
The Snow Child,Eowyn Ivey,eBook,,12.99,"9780755380558
",1 February 2012,,318 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780755380558.html
The Hunger Games (USA Edition),Suzanne Collins,Hardcover,,40.95,"9780439023481
",1 October 2008,12 - 17 years old,384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780439023481.html
Made Things,Adrian Tchaikovsky,eBook,6.22,5.99,"9781250232984
",5 November 2019,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781250232984.html
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,eBook,,12.99,"9780141926902
",1 May 2008,9 - 12 years old,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141926902.html
Conversations with Friends,Sally Rooney,eBook,16.49,14.99,"9780571333141
",Edition Number 1,,272 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780571333141.html
Strata,Terry Pratchett,eBook,,14.99,"9781407035536
",24 November 2009,,288 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781407035536.html
Misbehaving,Richard H. Thaler,eBook,,16.99,"9780141966151
",7 May 2015,,256 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141966151.html
,,,,,"9780230225916
",,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780230225916.html
Surrender Experiment,Michael A Singer,eBook,,,"9780804141116
",1 January 2015,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780804141116.html
My East End,Gilda O'Neill,eBook,,15.99,"9780141929385
",28 September 2000,,384 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141929385.html
Dork Diaries,Rachel Renee Russell,Paperback,,,"9781471144011
",2 June 2015,9+ years old,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781471144011.html
The Promise,Lesley Pearse,eBook,,15.99,"9780141964089
",19 January 2012,,528 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141964089.html
Artemis Fowl and The Arctic Incident,Eoin Colfer,eBook,,9.99,"9780141929576
",6 June 2002,9 - 12 years old,336 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141929576.html
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,,15.99,"9780141957869
",2 September 2010,,304 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141957869.html
Excalibur,Bernard Cornwell,eBook,,15.99,"9780141929743
",1 November 2007,,496 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780141929743.html
Myers+Chang at Home,Joanne Chang,eBook,46.19,36.99,"9780544836730
",19 March 2024,,320 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780544836730.html
Click,Kayla Miller,eBook,,,"9781328527905
",8 January 2019,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9781328527905.html
Mastering Color Knitting,Melissa Leapman,eBook,15.42,12.99,"9780307965493
",13 July 2011,,ePUB,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780307965493.html
Son,Lois Lowry,eBook,,,"9780547928517
",2 October 2012,,,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780547928517.html
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,eBook,17.59,16.99,"9780646987286
",Edition Number 1,,202 Pages,https://www.booktopia.com.au/star-trek-diane-duane/ebook/9780646987286.html
